name,class,description,weight
[Claw] Advanced Combat Costume,BP_ZB_YeMan_ZD_31_C,Appearance of advanced costume worn by the Claw Tribe in battles,0.6
[Claw] Advanced Combat Gloves,BP_ZB_YeMan_ZD_32_C,Appearance of advanced costume worn by the Claw Tribe in battles,0.3
[Claw] Advanced Combat Pants,BP_ZB_YeMan_ZD_33_C,Appearance of advanced costume worn by the Claw Tribe in battles,0.6
[Claw] Advanced Combat Shoes,BP_ZB_YeMan_ZD_34_C,Appearance of advanced costume worn by the Claw Tribe in battles,0.4
[Claw] Basic Combat Costume,BP_ZB_YeMan_ZD_11_C,Appearance of basic costume worn by the Claw Tribe in battles,0.2
[Claw] Basic Combat Gloves,BP_ZB_YeMan_ZD_12_C,Appearance of basic costume worn by the Claw Tribe in battles,0.1
[Claw] Basic Combat Pants,BP_ZB_YeMan_ZD_13_C,Appearance of basic costume worn by the Claw Tribe in battles,0.2
[Claw] Basic Combat Shoes,BP_ZB_YeMan_ZD_14_C,Appearance of basic costume worn by the Claw Tribe in battles,0.15
[Claw] Everyday Costume,BP_ZB_YeMan_SH_1_C,Appearance of basic costume worn by the Claw Tribe every day,0.2
[Claw] Everyday Gloves,BP_ZB_YeMan_SH_2_C,Appearance of basic costume worn by the Claw Tribe every day,0.1
[Claw] Everyday Pants,BP_ZB_YeMan_SH_3_C,Appearance of basic costume worn by the Claw Tribe every day,0.2
[Claw] Everyday Shoes,BP_ZB_YeMan_SH_4_C,Appearance of basic costume worn by the Claw Tribe every day,0.15
[Claw] Medium Combat Costume,BP_ZB_YeMan_ZD_21_C,Appearance of medium costume worn by the Claw Tribe in battles,0.4
[Claw] Medium Combat Gloves,BP_ZB_YeMan_ZD_22_C,Appearance of medium costume worn by the Claw Tribe in battles,0.2
[Claw] Medium Combat Pants,BP_ZB_YeMan_ZD_23_C,Appearance of medium costume worn by the Claw Tribe in battles,0.4
[Claw] Medium Combat Shoes,BP_ZB_YeMan_ZD_24_C,Appearance of medium costume worn by the Claw Tribe in battles,0.3
[Claw] Winter Gloves,BP_ZB_YeMan_YH_2_C,Appearance of costume worn by the Claw Tribe to resist the cold,0.3
[Claw] Winter Knitwear,BP_ZB_YeMan_YH_1_C,Appearance of costume worn by the Claw Tribe to resist the cold,0.6
[Claw] Winter Pants,BP_ZB_YeMan_YH_3_C,Appearance of costume worn by the Claw Tribe to resist the cold,0.6
[Claw] Winter Shoes,BP_ZB_YeMan_YH_4_C,Appearance of costume worn by the Claw Tribe to resist the cold,0.4
