name,class,description,weight
[Fang] Advanced Combat Costume,BP_ZB_ShenMi_ZD_31_C,Appearance of advanced costume worn by the Fang Tribe in battles,0.6
[Fang] Advanced Combat Gloves,BP_ZB_ShenMi_ZD_32_C,Appearance of advanced costume worn by the Fang Tribe in battles,0.3
[Fang] Advanced Combat Pants,BP_ZB_ShenMi_ZD_33_C,Appearance of advanced costume worn by the Fang Tribe in battles,0.6
[Fang] Advanced Combat Shoes,BP_ZB_ShenMi_ZD_34_C,Appearance of advanced costume worn by the Fang Tribe in battles,0.4
[Fang] Basic Combat Costume,BP_ZB_ShenMi_ZD_11_C,Appearance of basic costume worn by the Fang Tribe in battles,0.2
[Fang] Basic Combat Gloves,BP_ZB_ShenMi_ZD_12_C,Appearance of basic costume worn by the Fang Tribe in battles,0.1
[Fang] Basic Combat Pants,BP_ZB_ShenMi_ZD_13_C,Appearance of basic costume worn by the Fang Tribe in battles,0.2
[Fang] Basic Combat Shoes,BP_ZB_ShenMi_ZD_14_C,Appearance of basic costume worn by the Fang Tribe in battles,0.15
[Fang] Everyday Costume,BP_ZB_ShenMi_SH_1_C,Appearance of basic costume worn by the Fang Tribe every day,0.2
[Fang] Everyday Gloves,BP_ZB_ShenMi_SH_2_C,Appearance of basic costume worn by the Fang Tribe every day,0.1
[Fang] Everyday Pants,BP_ZB_ShenMi_SH_3_C,Appearance of basic costume worn by the Fang Tribe every day,0.2
[Fang] Everyday Shoes,BP_ZB_ShenMi_SH_4_C,Appearance of basic costume worn by the Fang Tribe every day,0.15
[Fang] Medium Combat Costume,BP_ZB_ShenMi_ZD_21_C,Appearance of medium costume worn by the Fang Tribe in battles,0.4
[Fang] Medium Combat Gloves,BP_ZB_ShenMi_ZD_22_C,Appearance of medium costume worn by the Fang Tribe in battles,0.2
[Fang] Medium Combat Pants,BP_ZB_ShenMi_ZD_23_C,Appearance of medium costume worn by the Fang Tribe in battles,0.4
[Fang] Medium Combat Shoes,BP_ZB_ShenMi_ZD_24_C,Appearance of medium costume worn by the Fang Tribe in battles,0.3
[Fang] Winter Gloves,BP_ZB_ShenMi_YH_2_C,Appearance of costume worn by the Fang Tribe to resist the cold,0.3
[Fang] Winter Knitwear,BP_ZB_ShenMi_YH_1_C,Appearance of costume worn by the Fang Tribe to resist the cold,0.6
[Fang] Winter Pants,BP_ZB_ShenMi_YH_3_C,Appearance of costume worn by the Fang Tribe to resist the cold,0.6
[Fang] Winter Shoes,BP_ZB_ShenMi_YH_4_C,Appearance of costume worn by the Fang Tribe to resist the cold,0.4
