name,id,slot,tags,atq,def,pv,crit,description,weight
[TEST]Ancient Gloves,BP_ZB_ShouTao_YiJi_1_c,gloves,Special,12,48,320,18,A pair of gloves crafted by the Ancient Master Craftsman,0.4
[TEST]Ancient Leather Armor,BP_ZB_YiFu_YiJi_1_c,costume,Special,18,35,290,22,Costume crafted by the Ancient Master Craftsman,0.2
[TEST]Ancient Leather Boots,BP_ZB_XieZi_YiJi_1_c,shoes,Special,15,42,310,20,A pair of boots crafted by the Ancient Master Craftsman,0.6
[TEST]Ancient Leather Pants,BP_ZB_KuZi_YiJi_1_c,pants,Special,14,38,305,19,A pair of pants crafted by the Ancient Master Craftsman,0.2
[TEST]Ancient Necklace,BP_ZB_XiangLian_YiJi_1_c,necklare,Special,16,40,315,21,A necklace crafted by the Ancient Master Craftsman,0.2
[TEST]Ancient Ring,BP_ZB_JieZhi_YiJi_1_c,ring,Special,13,37,300,17,A ring crafted by the Ancient Master Craftsman,0.2
[TEST]Archaic Armor,BP_ZB_YiFu_YiJi_2_c,costume,Special,19,44,325,23,Costume left over by the archaic civilization,0.2
[TEST]Archaic Boots,BP_ZB_XieZi_YiJi_2_c,shoes,Special,14,36,298,16,Boots left over by the archaic civilization,0.6
[TEST]Archaic Gloves,BP_ZB_ShouTao_YiJi_2_c,gloves,Special,17,41,312,20,Gloves left over by the archaic civilization,0.4
[TEST]Archaic Legguard,BP_ZB_KuZi_YiJi_2_c,pants,Special,15,39,308,19,Pants left over by the archaic civilization,0.2
[TEST]Archaic Necklace,BP_ZB_XiangLian_YiJi_2_c,necklare,Special,16,43,320,21,A necklace left over by the archaic civilization,0.2
[TEST]Archaic Ring,BP_ZB_JieZhi_YiJi_2_c,ring,Special,13,38,310,18,A ring left over by the archaic civilization,0.2
[TEST]Mysterious Armor,BP_ZB_YiFu_YiJi_3_c,costume,Special,20,45,330,24,A costume left by a mysterious civilization. Set effects: Attack Speed +20%, Max HP +10%
[TEST]Mysterious Boots,BP_ZB_XieZi_YiJi_3_c,shoes,Special,15,42,315,19,Boots left by a mysterious civilization. Set effects: Attack Speed +20%, Max HP +10%
[TEST]Mysterious Gloves,BP_ZB_ShouTao_YiJi_3_c,gloves,Special,18,44,325,22,Gloves left by a mysterious civilization. Set effects: Attack Speed +20%, Max HP +10%
[TEST]Mysterious Legguard,BP_ZB_KuZi_YiJi_3_c,pants,Special,16,40,312,20,Pants left by a mysterious civilization. Set effects: Attack Speed +20%, Max HP +10%
[TEST]Mysterious Necklace,BP_ZB_XiangLian_YiJi_3_c,necklare,Special,17,43,318,21,A necklace left by a mysterious civilization. Set effects: Attack Speed +20%, Max HP +10%
[TEST]Mysterious Ring,BP_ZB_JieZhi_YiJi_3_c,ring,Special,14,39,305,18,A ring left by a mysterious civilization. Set effects: Attack Speed +20%, Max HP +10%
[Claw] Advanced Combat Costume,BP_ZB_YeMan_ZD_31_c,costume,Tribe_Claw,1.5/s,25,36,264,Appearance of advanced costume worn by the Claw Tribe in battles,0.6
[Claw] Advanced Combat Gloves,BP_ZB_YeMan_ZD_32_c,gloves,Tribe_Claw,1.5/s,25,36,264,Appearance of advanced costume worn by the Claw Tribe in battles,0.3
[Claw] Advanced Combat Pants,BP_ZB_YeMan_ZD_33_c,pants,Tribe_Claw,1.5/s,25,36,264,Appearance of advanced costume worn by the Claw Tribe in battles,0.6
[Claw] Advanced Combat Shoes,BP_ZB_YeMan_ZD_34_c,shoes,Tribe_Claw,1.5/s,25,36,264,Appearance of advanced costume worn by the Claw Tribe in battles,0.4
[Claw] Basic Combat Costume,BP_ZB_YeMan_ZD_11_c,costume,Tribe_Claw,1.5/s,25,36,264,Appearance of basic costume worn by the Claw Tribe in battles,0.2
[Claw] Basic Combat Gloves,BP_ZB_YeMan_ZD_12_c,gloves,Tribe_Claw,1.5/s,25,36,264,Appearance of basic costume worn by the Claw Tribe in battles,0.1
[Claw] Basic Combat Pants,BP_ZB_YeMan_ZD_13_c,pants,Tribe_Claw,1.5/s,25,36,264,Appearance of basic costume worn by the Claw Tribe in battles,0.2
[Claw] Basic Combat Shoes,BP_ZB_YeMan_ZD_14_c,shoes,Tribe_Claw,1.5/s,25,36,264,Appearance of basic costume worn by the Claw Tribe in battles,0.15
[Claw] Everyday Costume,BP_ZB_YeMan_SH_1_c,costume,Tribe_Claw,1.5/s,25,36,264,Appearance of basic costume worn by the Claw Tribe every day,0.2
[Claw] Everyday Gloves,BP_ZB_YeMan_SH_2_c,gloves,Tribe_Claw,1.5/s,25,36,264,Appearance of basic costume worn by the Claw Tribe every day,0.1
[Claw] Everyday Pants,BP_ZB_YeMan_SH_3_c,pants,Tribe_Claw,1.5/s,25,36,264,Appearance of basic costume worn by the Claw Tribe every day,0.2
[Claw] Everyday Shoes,BP_ZB_YeMan_SH_4_c,shoes,Tribe_Claw,1.5/s,25,36,264,Appearance of basic costume worn by the Claw Tribe every day,0.15
[Claw] Medium Combat Costume,BP_ZB_YeMan_ZD_21_c,costume,Tribe_Claw,1.5/s,25,36,264,Appearance of medium costume worn by the Claw Tribe in battles,0.4
[Claw] Medium Combat Gloves,BP_ZB_YeMan_ZD_22_c,gloves,Tribe_Claw,1.5/s,25,36,264,Appearance of medium costume worn by the Claw Tribe in battles,0.2
[Claw] Medium Combat Pants,BP_ZB_YeMan_ZD_23_c,pants,Tribe_Claw,1.5/s,25,36,264,Appearance of medium costume worn by the Claw Tribe in battles,0.4
[Claw] Medium Combat Shoes,BP_ZB_YeMan_ZD_24_c,shoes,Tribe_Claw,1.5/s,25,36,264,Appearance of medium costume worn by the Claw Tribe in battles,0.3
[Claw] Winter Gloves,BP_ZB_YeMan_YH_2_c,gloves,Tribe_Claw,1.5/s,25,36,264,Appearance of costume worn by the Claw Tribe to resist the cold,0.3
[Claw] Winter Knitwear,BP_ZB_YeMan_YH_1_c,custome,Tribe_Claw,1.5/s,25,36,264,Appearance of costume worn by the Claw Tribe to resist the cold,0.6
[Claw] Winter Pants,BP_ZB_YeMan_YH_3_c,pants,Tribe_Claw,1.5/s,25,36,264,Appearance of costume worn by the Claw Tribe to resist the cold,0.6
[Claw] Winter Shoes,BP_ZB_YeMan_YH_4_c,shoes,Tribe_Claw,1.5/s,25,36,264,Appearance of costume worn by the Claw Tribe to resist the cold,0.4
[Fang] Advanced Combat Costume,BP_ZB_ShenMi_ZD_31_c,costume,Tribe_Fang,1.5/s,25,36,264,Appearance of advanced costume worn by the Fang Tribe in battles,0.6
[Fang] Advanced Combat Gloves,BP_ZB_ShenMi_ZD_32_c,gloves,Tribe_Fang,1.5/s,25,36,264,Appearance of advanced costume worn by the Fang Tribe in battles,0.3
[Fang] Advanced Combat Pants,BP_ZB_ShenMi_ZD_33_c,pants,Tribe_Fang,1.5/s,25,36,264,Appearance of advanced costume worn by the Fang Tribe in battles,0.6
[Fang] Advanced Combat Shoes,BP_ZB_ShenMi_ZD_34_c,shoes,Tribe_Fang,1.5/s,25,36,264,Appearance of advanced costume worn by the Fang Tribe in battles,0.4
[Fang] Basic Combat Costume,BP_ZB_ShenMi_ZD_11_c,costume,Tribe_Fang,1.5/s,25,36,264,Appearance of basic costume worn by the Fang Tribe in battles,0.2
[Fang] Basic Combat Gloves,BP_ZB_ShenMi_ZD_12_c,gloves,Tribe_Fang,1.5/s,25,36,264,Appearance of basic costume worn by the Fang Tribe in battles,0.1
[Fang] Basic Combat Pants,BP_ZB_ShenMi_ZD_13_c,pants,Tribe_Fang,1.5/s,25,36,264,Appearance of basic costume worn by the Fang Tribe in battles,0.2
